rule_type,pattern,description,severity,suggestion,example_fix
attribute_modification,attribute modified during perform,演奏中の属性変更。予期せぬ音声効果,warning,パラメータ平滑化を使用,// 急激な変化を避けるためのパラメータスムージング
gl_resource_management,GL resource not properly released,GL リソースの不適切な解放。リソースリーク,error,適切なGL解放コードを追加,if (texture) glDeleteTextures(1, &texture);
jitter_performance,inefficient matrix operation,非効率なマトリックス操作。パフォーマンス低下,warning,最適化されたJitterメソッドを使用,// jit.opなどの最適化されたオブジェクトを使用
max_path,hardcoded file paths,ハードコードされたファイルパス。OS間の互換性問題,warning,パスオブジェクトまたは相対パスを使用,path_toabsolutesystempath(path, filename, outpath);
attribute_thread_safety,thread unsafe attribute access,スレッド安全でない属性アクセス。データ競合,error,スレッドセーフな属性アクセスに変更,attribute<float, threadsafe::yes> value;
message_thread_safety,thread unsafe message handling,スレッド安全でないメッセージ処理。データ競合,error,スレッドセーフな設計に変更,defer_low(x, (method)safe_message_handler, a, b);
buffer_consistency,buffer modification during playback,再生中のバッファ変更。音声アーティファクト,warning,二重バッファリングを使用,// 変更用と再生用の別バッファを使いスワップ
signal_connection,audio connection to non-audio object,非オーディオオブジェクトへの信号接続。無効な接続,error,適切なオーディオパスに修正,// シグナルは~付きオブジェクトにのみ接続
timing,high-precision timing in non-RT thread,非RTスレッドでの高精度タイミング要求。不安定な動作,warning,適切なタイミングメカニズムを使用,clock_delay(x->clock, milliseconds);
concurrency_model,mixing concurrency models,複数の並行性モデルの混在。同期問題のリスク,warning,一貫した並行性モデルを使用,// スレッド、非同期コールバック、イベントループの一貫した使用
min_dsp,inefficient MIN_FUNCTION for DSP,DSP用のMIN_FUNCTION非効率。オーバーヘッド増加,warning,operator() メソッドを使用,sample operator()(sample x) { return x * gain; }
error_propagation,swallowed errors,エラーの抑制。問題の発見と診断の困難化,warning,エラー状態を適切に伝播,if (err != MAX_ERR_NONE) return err; // エラーを上位に伝える
audio_feedback,potential audio feedback loop,オーディオフィードバックループの可能性。発振リスク,warning,フィードバックパスに制限を追加,if (feedback > 0.99f) feedback = 0.99f; // 上限設定
dsp_load,excessive DSP load,過剰なDSP負荷。システムパフォーマンス低下,warning,処理を最適化または間引き,if (!(tick_count % decimation_factor)) { /* 処理 */ }
ui_event_handling,ui event handler doesn't return value,戻り値なしのUIイベントハンドラ。イベント伝播制御不能,warning,適切な戻り値を返す,return 1; // イベント処理完了を示す
buffer_alignment,buffer not aligned for SIMD,SIMDに適さないバッファアラインメント。最適化の妨げ,info,アラインメントを調整,float *aligned_ptr = (float *)(((uintptr_t)ptr + 15) & ~15);
audio_glitch,potential audio glitch,音声グリッチの可能性。音質低下,warning,信号の連続性を確保,// 急激な値変化を避けるスムージングを実装
multithreading,potential deadlock,デッドロックの可能性。システム停止のリスク,error,リソースの取得順序を一貫させる,// 常に同じ順序でロックを取得する設計に変更
signal_discontinuity,signal discontinuity,信号の不連続性。クリックノイズの原因,warning,値変化を滑らかにする,output = prev_output + (target - prev_output) * smooth_factor;
real_time_constraint,real-time constraint violation,リアルタイム制約違反。処理遅延問題,error,処理時間を短縮,// 処理を最適化または複数フレームに分割
performance_critical,inefficient operation in hot path,高頻度パスでの非効率な操作。パフォーマンスボトルネック,warning,ホットパスを最適化,// ループ内計算を外部に移動、キャッシュ活用
min_attribute,missing default for min attribute,Min属性のデフォルト値なし。初期状態が不明確,warning,明示的なデフォルト値を設定,attribute<float> gain { this, ""gain"", 1.0 };
signal_rate,sample rate dependent constants,サンプルレート依存の定数。レート変更時に問題,warning,実行時計算または再計算に変更,// サンプルレート変更時に係数を再計算
numerical_stability,numerical instability risk,数値的不安定性のリスク。計算精度の問題,warning,数値的に安定なアルゴリズムを使用,// 桁落ちを避ける計算順序に変更
thread_priority,inappropriate thread priority,不適切なスレッド優先度。システム応答性への影響,warning,適切な優先度を設定,systhread_setpriority(x->thread, priority);
error_reporting,silent failure,エラーの無言の失敗。問題の発見困難,warning,エラーを明示的に報告,object_error((t_object *)x, ""Operation failed: %s"", error_message);
jitter_gl_state,GL state not restored,GLステートの未復元。予期せぬ描画結果,warning,GL状態の保存と復元,glPushAttrib(GL_ALL_ATTRIB_BITS); /* 処理 */ glPopAttrib();
recursion,excessive recursion depth,過度の再帰深度。スタックオーバーフローのリスク,error,反復的アプローチまたは深度制限を使用,if (depth > MAX_RECURSION_DEPTH) return; // 深度制限
synchronization,missing synchronization,同期化の欠如。競合状態の可能性,error,適切な同期プリミティブを使用,critical_enter(x->lock); /* 処理 */ critical_exit(x->lock);
min_message,inefficient message processing,非効率なメッセージ処理。パフォーマンス低下,warning,メッセージ処理を最適化,message<> bang { this, ""bang"", MIN_FUNCTION { return {}; } };
value_clipping,missing value clipping,値のクリッピングがない。有効範囲外の値,warning,適切な範囲クリッピングを追加,value = CLAMP(value, min_value, max_value);
system_call,blocking system call,ブロッキングシステムコール。処理の中断,warning,非ブロッキング代替手段を使用,// 非ブロッキングI/O、非同期呼び出しに変更
exception_in_destructor,exception thrown in destructor,デストラクタ内での例外発生。未定義動作,error,デストラクタでのエラー処理を修正,try { /* 処理 */ } catch (...) { /* ログ記録のみ */ }
performance_regression,performance regression,パフォーマンス退行。以前より処理効率低下,warning,パフォーマンス低下原因を解消,// 新たに導入された非効率な処理を最適化
object_creation,object created in audio thread,オーディオスレッドでのオブジェクト生成。メモリ確保遅延,error,事前にオブジェクトを作成,// 初期化時にオブジェクトを作成しておく
audio_buffer_size,fixed audio buffer size assumption,固定オーディオバッファサイズ前提。可変サイズ非対応,warning,動的バッファサイズに対応,x->buffer_size = sys_getblksize();
min_initialization,object used before min initialization,初期化前のMinオブジェクト使用。未定義動作,error,適切な初期化順序を確保,// constructorでの初期化完了を確認
attribute_update,missing attribute update notification,属性更新通知の欠如。UI更新されない,warning,属性変更後の通知を追加,object_notify(x, _sym_modified, NULL);
ui_refresh,missing UI refresh,UI更新の欠如。表示が古い状態のまま,warning,適切なUIリフレッシュ呼び出しを追加,jbox_redraw((t_jbox *)x);
error_handling_locality,distant error handling,エラー処理が発生場所から離れている。追跡困難,info,エラー発生場所の近くでハンドリング,if (error) { /* すぐにエラー処理 */ }
max_min_consistency,mixing Max C and Min APIs,MaxのCスタイルとMinのC++スタイルの混在。一貫性欠如,warning,一貫したAPI使用に統一,// 同じ機能には同じAPIスタイルを使用
reentrancy,non-reentrant code,リエントラント性のないコード。再入による問題,warning,リエントラントな設計に変更,// 状態を引数として渡す設計に変更
code_complexity,excessive cyclomatic complexity,過度の循環的複雑度。理解・保守の困難,info,コードを小さな関数に分割,// 長い関数を意味のある小さな関数に分割
buffer_edge_cases,missing buffer edge case handling,バッファエッジケース処理の欠如。境界値問題,warning,エッジケース処理を追加,if (buffer_size == 0) return 0; // 空バッファの処理
plugin_memory_isolation,shared memory across plugin instances,プラグインインスタンス間の共有メモリ。予期せぬ干渉,error,インスタンス固有のメモリを使用,// static変数の代わりにインスタンス変数を使用
min_exception_safety,exception unsafe Min code,例外安全でないMinコード。リソースリークの可能性,warning,例外安全な設計に変更,// RAII、スマートポインタ、try-catchブロックを使用
resource_cleanup,resource cleanup in wrong thread,誤ったスレッドでのリソース解放。解放失敗の可能性,warning,適切なスレッドでクリーンアップ,// リソースを確保したのと同じスレッドで解放
