name,description,category,min_max_version,max_max_version,inlets,outlets,is_ui_object,is_deprecated,recommended_alternative
patch~,別パッチをDSPチェーンに組み込み。モジュラーな音声処理,audio/patching,6.0,8.5,8,8,FALSE,FALSE,NULL
pfft~,FFTベースの処理。周波数領域での操作,audio/spectral,5.0,8.5,1,1,FALSE,FALSE,NULL
groove~,バッファのグラニュラー再生。可変速ループと再生位置制御,audio/sample,4.0,8.5,2,2,FALSE,FALSE,NULL
playlist~,オーディオファイルプレイリスト。複数ファイルの自動再生,audio/playback,5.0,8.5,1,2,FALSE,FALSE,NULL
snowfall~,物理モデリングノイズ生成器。自然な雪の降る音,audio/gen,6.5,8.5,1,1,FALSE,FALSE,NULL
saw~,鋸波オシレーター。豊かな倍音を持つ波形生成,audio/gen,4.0,8.5,2,1,FALSE,FALSE,NULL
tri~,三角波オシレーター。奇数倍音のみの波形生成,audio/gen,4.0,8.5,2,1,FALSE,FALSE,NULL
rect~,矩形波オシレーター。可変デューティ比のパルス波形,audio/gen,4.0,8.5,2,1,FALSE,FALSE,NULL
noise~,ノイズジェネレータ。ホワイトノイズ生成,audio/gen,4.0,8.5,1,1,FALSE,FALSE,NULL
adsr~,ADSR（アタック/ディケイ/サステイン/リリース）エンベロープ。波形整形,audio/envelope,5.0,8.5,6,1,FALSE,FALSE,NULL
biquad~,バイクワッドフィルター。汎用的な2次フィルター実装,audio/filter,4.0,8.5,2,1,FALSE,FALSE,NULL
lores~,ローパスレゾナントフィルター。カットオフと共鳴の制御,audio/filter,4.0,8.5,3,1,FALSE,FALSE,NULL
svf~,ステートバリアブルフィルター。複数フィルタータイプ,audio/filter,5.0,8.5,5,4,FALSE,FALSE,NULL
zerox~,ゼロクロッシング検出。信号の過渡検出,audio/analysis,4.0,8.5,1,1,FALSE,FALSE,NULL
fft~,高速フーリエ変換。時間領域から周波数領域への変換,audio/spectral,4.0,8.5,1,3,FALSE,FALSE,NULL
ifft~,逆高速フーリエ変換。周波数領域から時間領域への変換,audio/spectral,4.0,8.5,3,1,FALSE,FALSE,NULL
spectroscope~,スペクトラムアナライザー。周波数成分の視覚化,audio/spectral,4.0,8.5,1,0,TRUE,FALSE,NULL
jit.clip,ピクセル値のクリッピング。値の範囲を制限,jitter/processing,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.chromakey,クロマキー合成。色に基づいた透明度処理,jitter/keying,5.0,8.5,2,1,FALSE,FALSE,NULL
jit.dimmap,マトリックス次元のマッピング。次元の入れ替えや結合,jitter/dimension,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.handle,3D空間での操作ハンドル。回転・移動・拡大縮小の操作,jitter/gl/ui,5.0,8.5,1,1,TRUE,FALSE,NULL
jit.gl.camera,OpenGLカメラ設定。視点と投影の制御,jitter/gl,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.light,OpenGLライティング。3D空間の照明設定,jitter/gl,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.model,3Dモデルローダー。OBJやFBXなどの3Dモデル読み込み,jitter/gl/import,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.text2d,2Dテキスト描画。OpenGLコンテキスト内にテキスト表示,jitter/gl/text,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.text3d,3Dテキスト描画。空間内に立体テキスト表示,jitter/gl/text,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.phys.body,物理シミュレーション用のボディ。剛体物理演算,jitter/physics,6.0,8.5,1,2,FALSE,FALSE,NULL
jit.phys.world,物理シミュレーション世界。物理演算環境,jitter/physics,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.lcd,2D描画サーフェス。ベクターグラフィックス描画,jitter/graphics,5.0,8.5,1,1,FALSE,TRUE,jit.mgraphics
jit.rota,マトリックスの回転とスケーリング。画像変換,jitter/transform,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.bfg,ブルーム・フラクタル・グラディエント生成。抽象的なパターン作成,jitter/gen,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.xfade,マトリックスクロスフェード。2つの入力間でブレンド,jitter/mixing,5.0,8.5,2,1,FALSE,FALSE,NULL
jit.freenect.grab,Kinectセンサー入力。深度とRGBカメラ取得,jitter/input,6.0,8.5,1,2,FALSE,FALSE,NULL
jit.desktop,画面キャプチャ。デスクトップ画面の取得,jitter/input,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.noise,ノイズパターン生成。様々な種類のビジュアルノイズ,jitter/gen,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.catch~,オーディオシグナルからJitterマトリックス生成。波形可視化,jitter/audio,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.record,ビデオ録画。マトリックスからムービーファイル保存,jitter/file/output,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.print,マトリックス内容のプリント。デバッグ用,jitter/utilities,5.0,8.5,1,0,FALSE,FALSE,NULL
jit.cellblock,スプレッドシート表示。2D数値データの表示と編集,jitter/ui,5.0,8.5,1,1,TRUE,FALSE,NULL
jit.gl.sketch,対話的3D描画インターフェース。直感的な3D作図,jitter/gl/drawing,5.0,8.5,1,1,TRUE,FALSE,NULL
jit.gl.gridshape,プリミティブ3D形状。基本的な3Dオブジェクト生成,jitter/gl/shape,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.mesh,カスタム3Dメッシュ。高度な3Dジオメトリ,jitter/gl/shape,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.shader,GLSLシェーダープログラム。カスタムレンダリングエフェクト,jitter/gl/shading,5.5,8.5,1,1,FALSE,FALSE,NULL
jit.gl.multiple,複数インスタンス描画。同じジオメトリの効率的な複製,jitter/gl/instancing,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.spout,Spoutテクスチャ共有。アプリケーション間のGPUテクスチャ転送,jitter/gl/interop,7.0,8.5,1,1,FALSE,FALSE,NULL
bpatcher,パッチャー内にサブパッチを埋め込み。モジュラーなUI,ui/patching,4.0,8.5,0,0,TRUE,FALSE,NULL
preset,パラメータプリセット管理。状態保存と呼び出し,control/state,4.0,8.5,2,2,FALSE,FALSE,pattrstorage
autopattr,自動属性接続。パラメータの自動収集と管理,control/state,5.0,8.5,1,0,FALSE,FALSE,NULL
pattrstorage,パラメータストレージ。完全なパッチ状態の保存と呼び出し,control/state,5.0,8.5,1,1,FALSE,FALSE,NULL
pictslider,画像付きスライダー。カスタム外観のスライダーUI,ui,4.0,8.5,2,2,TRUE,FALSE,NULL
pictctrl,画像付きボタン。カスタム外観のボタンUI,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
radiogroup,ラジオボタングループ。排他的選択UI,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
matrixctrl,マトリックスコントローラー。格子状の値編集インターフェース,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
lcd,低レベル描画コンテキスト。カスタムグラフィックス,ui/drawing,4.0,8.5,1,1,TRUE,TRUE,jit.mgraphics
fpic,画像表示。静的イメージの表示,ui,4.0,8.5,1,0,TRUE,FALSE,jit.pwindow
detonate,ピアノロールエディタ。MIDIノートの視覚的編集,ui/midi,4.0,8.5,1,1,TRUE,FALSE,NULL
amxd~,Ableton Live用のMax for Liveデバイス。Liveとの統合,audio/max4live,5.0,8.5,16,16,FALSE,FALSE,NULL
live.object,Live APIアクセス。Abletonオブジェクトへのアクセス,max4live,6.0,8.5,1,1,FALSE,FALSE,NULL
live.path,Live APIパス指定。Live APIオブジェクトの検索,max4live,6.0,8.5,1,1,FALSE,FALSE,NULL
tab,タブ付きテキスト表示。複数ページのテキスト,ui/text,4.0,8.5,1,2,TRUE,FALSE,NULL
textedit,テキスト編集フィールド。複数行テキスト入力,ui/text,4.0,8.5,1,1,TRUE,FALSE,NULL
comment,コメント表示。パッチ内の注釈,ui/text,4.0,8.5,0,0,TRUE,FALSE,NULL
jit.gl.slab,GPUシェーダーパイプラインステージ。マルチパスシェーダー処理,jitter/gl/shader,6.0,8.5,9,2,FALSE,FALSE,NULL
jit.world,Jitterウィンドウ管理。レンダーコンテキスト作成,jitter/context,5.0,8.5,1,1,FALSE,FALSE,NULL
vz.mapper,vizzie用マッピングインターフェース。インタラクティブマッピング,vizzie,6.0,8.5,3,3,TRUE,FALSE,NULL
vz.viewr,vizzieビデオビューア。ビデオプレビュー表示,vizzie,6.0,8.5,1,0,TRUE,FALSE,NULL
scope~,オシロスコープ。オーディオ波形の視覚化,audio/ui,4.0,8.5,2,0,TRUE,FALSE,NULL
meter~,オーディオレベルメーター。シグナルレベルの視覚化,audio/ui,4.0,8.5,1,1,TRUE,FALSE,NULL
spectroscope~,スペクトラムアナライザー。周波数分析表示,audio/ui,4.0,8.5,1,0,TRUE,FALSE,NULL
number~,オーディオレート数値表示。シグナル値のモニタリング,audio/ui,4.0,8.5,1,1,TRUE,FALSE,NULL
playlist,ファイルプレイリスト管理。複数ファイルの再生制御,file/playback,5.0,8.5,1,2,FALSE,FALSE,NULL
folder,フォルダ内容のリスト化。ディレクトリ内ファイル一覧,file/utilities,4.0,8.5,1,1,FALSE,FALSE,NULL
filewatch,ファイル変更監視。ファイルシステムイベント検出,file/utilities,6.0,8.5,1,1,FALSE,FALSE,NULL
dropfile,ファイルドロップ受付。ドラッグ&ドロップファイル入力,file/utilities,4.0,8.5,1,1,FALSE,FALSE,NULL
jweb,ウェブブラウザ。HTMLコンテンツ表示,network/web,5.0,8.5,1,1,TRUE,FALSE,NULL
mxj.JitterGuiAdapter,Javaベース視覚化インターフェース。カスタムGUI用,java/ui,5.0,8.5,1,1,TRUE,FALSE,NULL
jit.openexr,OpenEXRファイル入出力。高ダイナミックレンジ画像処理,jitter/file,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.pix,ピクセルシェーダー処理。画素単位のエフェクト,jitter/gl/shader,6.0,8.5,2,1,FALSE,FALSE,NULL
bach.score,複雑な音楽記譜用インターフェース。詳細な楽譜表示と編集,bach/notation,6.0,8.5,1,3,TRUE,FALSE,NULL
mubu.track,多次元データ記録と表示。ジェスチャーや音響特徴の記録,mubu/data,6.0,8.5,1,1,FALSE,FALSE,NULL
sadam.rapidmax,高速機械学習モデル作成。ジェスチャー認識とマッピング,ml,7.0,8.5,1,1,FALSE,FALSE,NULL
o.display,OSCメッセージ表示。OpenSoundControlデータの可視化,osc/ui,6.0,8.5,1,0,TRUE,FALSE,NULL
fluid.kmeans~,k-meansクラスタリングアルゴリズム。教師なし学習,ml.lib/ml,8.0,8.5,1,2,FALSE,FALSE,NULL
fluid.bufnmf~,非負値行列因子分解。音源分離,ml.lib/ml,8.0,8.5,1,3,FALSE,FALSE,NULL
fluid.mfcc~,メル周波数ケプストラム係数抽出。音声特徴量抽出,ml.lib/analysis,8.0,8.5,1,2,FALSE,FALSE,NULL
karma~,ライブ再合成エンジン。マシン学習ベースのリアルタイム再合成,ml/synthesis,7.0,8.5,3,2,FALSE,FALSE,NULL
spat.pan~,空間オーディオパンニング。3D空間上の音源配置,spat/3d,6.0,8.5,3,8,FALSE,FALSE,NULL
jit.mo.time,モーションデータの時間操作。ジェスチャーや動きのタイミング制御,jitter/motion,7.0,8.5,1,1,FALSE,FALSE,NULL
min.threadcheck,スレッド状態確認。処理スレッドのチェック,min/utilities,7.0,8.5,1,1,FALSE,FALSE,NULL
min.meter~,オーディオレベルメーター。シグナルレベルの可視化,min/audio/ui,7.0,8.5,1,0,TRUE,FALSE,NULL
min.textslider,テキスト付きスライダー。カスタマイズ可能なUIコントロール,min/ui,7.0,8.5,1,1,TRUE,FALSE,NULL
min.environment,環境情報取得。システム・パッチ・環境変数の取得,min/utilities,7.0,8.5,1,1,FALSE,FALSE,NULL
min.sift~,シグナルフィルタリング。特定条件の信号抽出,min/audio,7.0,8.5,2,1,FALSE,FALSE,NULL
min.prefs,ユーザー環境設定アクセス。設定の保存と取得,min/utilities,7.0,8.5,1,1,FALSE,FALSE,NULL
min.convolve,畳み込み演算。1次元データの畳み込み処理,min/math,7.0,8.5,2,1,FALSE,FALSE,NULL
min.beat.random,ランダムビートパターン生成。確率的リズム生成,min/timing,7.0,8.5,1,1,FALSE,FALSE,NULL
gen,GenExprコードの実行。MIDIレート計算,gen/math,6.0,8.5,1,1,FALSE,FALSE,NULL
codebox,コードエディタボックス。GenExpr・JS編集,gen/coding,6.0,8.5,1,1,TRUE,FALSE,NULL
mc.receive~,マルチチャンネルワイヤレス受信。複数チャンネルのワイヤレス接続,audio/mc,7.0,8.5,1,1,FALSE,FALSE,NULL
mc.send~,マルチチャンネルワイヤレス送信。複数チャンネルのワイヤレス接続,audio/mc,7.0,8.5,1,0,FALSE,FALSE,NULL
mc.rotate~,マルチチャンネル回転ミキサー。チャンネル間の循環的ミキシング,audio/mc,7.0,8.5,1,1,FALSE,FALSE,NULL
pong~,信号値の範囲制限。バウンドするクリッピングエフェクト,audio/utility,4.0,8.5,1,1,FALSE,FALSE,NULL
matrix~,信号ルーティングマトリックス。複雑なシグナルルーティング,audio/routing,5.0,8.5,2,2,FALSE,FALSE,NULL
reson~,レゾナントバンドパスフィルター。ピークタイプのフィルター,audio/filter,4.0,8.5,3,1,FALSE,FALSE,NULL
omx.peaklim~,ピークリミッター。オーディオピークの制限,audio/dynamics,5.0,8.5,1,1,FALSE,FALSE,NULL
omx.comp~,コンプレッサー。ダイナミックレンジ圧縮,audio/dynamics,5.0,8.5,2,1,FALSE,FALSE,NULL
moogvcf~,Moog風バーチャルアナログフィルター。ローパスフィルター,audio/filter,4.0,8.5,3,1,FALSE,FALSE,NULL
tapin~,オーディオタップインディレイ。遅延バッファへの入力,audio/delay,4.0,8.5,1,0,FALSE,FALSE,NULL
tapout~,オーディオタップアウトディレイ。遅延バッファからの出力,audio/delay,4.0,8.5,1,1,FALSE,FALSE,NULL
freeverb~,自由に使えるリバーブ。室内空間シミュレーション,audio/effects,5.0,8.5,1,2,FALSE,FALSE,NULL
jg.granulator~,グラニュラー合成。サウンドテクスチャ生成,audio/granular,6.0,8.5,3,1,FALSE,FALSE,NULL
retune~,リアルタイムピッチ補正。ボーカル用オートチューン,audio/pitch,6.0,8.5,2,2,FALSE,FALSE,NULL
buffir~,FFTベースのFIRフィルター。インパルス応答によるフィルタリング,audio/filter,6.0,8.5,2,1,FALSE,FALSE,NULL
bitxor~,ビット単位のXOR演算。デジタルディストーション効果,audio/bitwise,4.0,8.5,2,1,FALSE,FALSE,NULL
vst~,VSTプラグインホスト。VSTエフェクトとインストゥルメントをロード,audio/plugins,5.0,8.5,2,2,FALSE,FALSE,NULL
count~,オーディオレートカウンター。サンプル単位のインデックスカウント,audio/counting,4.0,8.5,2,1,FALSE,FALSE,NULL
downsamp~,ダウンサンプリング。サンプルレート変換,audio/conversion,4.0,8.5,1,1,FALSE,FALSE,NULL
upsamp~,アップサンプリング。サンプルレート変換,audio/conversion,4.0,8.5,1,1,FALSE,FALSE,NULL
normalize~,オーディオ正規化。レベル自動調整,audio/dynamics,5.0,8.5,1,1,FALSE,FALSE,NULL
gate~,ノイズゲート。しきい値以下の信号を抑制,audio/dynamics,4.0,8.5,2,1,FALSE,FALSE,NULL
thresh~,閾値検出。しきい値を超える信号を検出,audio/utility,4.0,8.5,2,1,FALSE,FALSE,NULL
click~,クリック信号生成。衝撃波形の生成,audio/gen,4.0,8.5,1,1,FALSE,FALSE,NULL
dripwater~,水滴音生成。物理モデリングによる水滴音合成,audio/physical,5.0,8.5,1,1,FALSE,FALSE,NULL
teeth~,歯型波形生成。非線形波形発生器,audio/gen,5.0,8.5,2,1,FALSE,FALSE,NULL
cascade~,縦続フィルター。複数フィルターの連結,audio/filter,4.0,8.5,1,1,FALSE,FALSE,NULL
teeth~,歯型波形生成。非線形波形発生器,audio/gen,5.0,8.5,2,1,FALSE,FALSE,NULL
degrade~,ビット深度・サンプルレート低減。ローファイエフェクト,audio/effects,4.0,8.5,3,1,FALSE,FALSE,NULL
limi~,リミッター。ハードクリッピング制限,audio/dynamics,4.0,8.5,1,1,FALSE,FALSE,NULL
cartopol~,直交座標から極座標への変換。複素数処理,audio/conversion,4.0,8.5,2,2,FALSE,FALSE,NULL
poltocar~,極座標から直交座標への変換。複素数処理,audio/conversion,4.0,8.5,2,2,FALSE,FALSE,NULL
overdrive~,オーバードライブディストーション。信号の非線形歪み,audio/distortion,4.0,8.5,1,1,FALSE,FALSE,NULL
phaseshift~,位相シフター。信号の位相調整,audio/phase,4.0,8.5,2,1,FALSE,FALSE,NULL
record~,オーディオ録音。バッファにオーディオを記録,audio/record,4.0,8.5,2,0,FALSE,FALSE,NULL
length~,バッファの長さを計算。サンプル数の取得,audio/buffer,4.0,8.5,1,1,FALSE,FALSE,NULL
info~,バッファ情報の表示。サンプルレートやチャンネル数の取得,audio/buffer,4.0,8.5,1,1,FALSE,FALSE,NULL
avg~,シグナル平均化。移動平均フィルター,audio/filter,4.0,8.5,1,1,FALSE,FALSE,NULL
clip~,ハードクリッピング。信号値の範囲制限,audio/utility,4.0,8.5,3,1,FALSE,FALSE,NULL
jit.anim.node,アニメーションノード。時間軸上のアニメーション制御,jitter/animation,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.anim.drive,アニメーション駆動。アニメーションパラメータコントロール,jitter/animation,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.graph,グラフィカルディスプレイ。数値データの視覚化,jitter/gl/visualization,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.nurbs,NURBSサーフェス生成。滑らかな曲面の表現,jitter/gl/shape,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.path,3Dパス描画。曲線や線の描画,jitter/gl/drawing,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.material,OpenGLマテリアル設定。サーフェスの光学特性定義,jitter/gl/render,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.texture3d,3Dテクスチャオブジェクト。ボリュームデータのテクスチャマッピング,jitter/gl/texture,6.5,8.5,1,1,FALSE,FALSE,NULL
jit.gl.volume,3Dボリュームレンダリング。ボリュームデータの可視化,jitter/gl/render,6.5,8.5,1,1,FALSE,FALSE,NULL
jit.gl.isosurf,等値面抽出。ボリュームデータからメッシュ生成,jitter/gl/visualization,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.node,シーングラフノード。階層的なトランスフォーム管理,jitter/gl/scene,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.terrain,地形生成。高さマップからの3D地形メッシュ,jitter/gl/terrain,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.currentcontext,現在のコンテキスト取得。OpenGLコンテキスト情報,jitter/gl/context,5.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.shader.bindless,現代的なシェーダー構造。最新GPUのシェーダー機能活用,jitter/gl/shader,8.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.compute,GPGPU計算。汎用計算シェーダーの利用,jitter/gl/compute,7.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.asyncread,非同期GPUデータ読み取り。パフォーマンス向上,jitter/gl/data,6.5,8.5,1,1,FALSE,FALSE,NULL
jit.gl.shadow,シャドウマッピング。リアルな影の生成,jitter/gl/lighting,5.5,8.5,1,1,FALSE,FALSE,NULL
jit.gl.skybox,スカイボックス。環境キューブマップの表示,jitter/gl/environment,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.gl.glsl,GLSLシェーダープログラム。OpenGLシェーディング言語のサポート,jitter/gl/shader,5.0,8.5,1,1,FALSE,FALSE,jit.gl.shader
jit.gl.presenter,プレゼンテーションウィンドウ。フルスクリーンディスプレイ,jitter/gl/ui,5.0,8.5,1,0,FALSE,FALSE,NULL
jit.gl.lua,Luaスクリプティング統合。GPUプログラミング用スクリプト言語,jitter/gl/scripting,6.0,8.5,1,1,FALSE,FALSE,NULL
grid,グリッドレイアウトマネージャー。UI要素の整列配置,layout,6.0,8.5,1,1,FALSE,FALSE,NULL
tab,タブインターフェース。複数ページの切り替え表示,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
hslider,水平スライダー。数値入力用UI,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
vslider,垂直スライダー。数値入力用UI,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
ubutton,不可視ボタン。エリアクリック検出,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
panel,背景パネル。UIのグループ化や視覚的区分,ui,4.0,8.5,1,0,TRUE,FALSE,NULL
live.slider,ライブスタイルスライダー。現代的外観のスライダーUI,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.button,ライブスタイルボタン。現代的外観のボタンUI,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.numbox,ライブスタイル数値入力。現代的外観の数値入力フィールド,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.menu,ライブスタイルメニュー。現代的外観のドロップダウンメニュー,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.grid,ライブスタイルグリッド。現代的外観のマトリックスUI,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.toggle,ライブスタイルトグル。現代的外観のオン/オフスイッチ,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.remote~,Live APIとのオーディオ連携。LiveパラメータとDSPの同期,max4live,6.0,8.5,1,1,FALSE,FALSE,NULL
