source_object,source_outlet,destination_object,destination_inlet,description,is_recommended,audio_signal_flow,performance_impact,compatibility_issues,connection_type,latency_impact,vector_size_dependency,feedback_safe
route,0,select,0,メッセージ振り分けから選択。フローコントロールパターン,1,0,低,データ型の一致に注意,,,,
jitter,0,suckah,0,Jitterマトリックスから古いQuickTimeオブジェクト接続,0,0,中,suckahは非推奨,,,,
min.buffer.loop~,0,min.edge~,0,バッファループから信号エッジ検出。サンプル境界検出,1,1,低,なし,,,,
min.beat.pattern,0,min.note.make,0,ビートパターンからノート生成。リズムパターンのノート化,1,0,低,なし,,,,
mc.min.info~,0,mc.unpack~,0,MCシグナル情報からチャンネル分離。診断と処理,1,1,低,なし,,,,
min.environment,0,dict,0,環境変数から辞書。システム情報の構造化,1,0,低,なし,,,,
min.buffer.index~,0,snapshot~,0,バッファインデックスから瞬時値取得。バッファポジション監視,1,1,低,なし,,,,
gen~,0,min.meter~,0,カスタムDSPからメーター。シグナルレベル可視化,1,1,低,なし,,,,
min.phasor~,0,min.pan~,0,位相生成器からパンニング。空間的変調,1,1,低,なし,,,,
min.sift~,0,min.threadcheck,0,信号フィルタリングからスレッド確認。処理スレッドの検証,1,1,低,なし,,,,
min.buffer.loop~,0,min.xfade~,0,バッファループからクロスフェード。サンプル再生とミックス,1,1,低,なし,,,,
min.prefs,0,min.project,0,環境設定からプロジェクト情報。構成管理,1,0,低,なし,,,,
jit.gen,0,min.jit.stencil,0,GPUシェーダーからステンシル処理。画像フィルタリング,1,0,中,GPUメモリ転送に注意,,,,
min.remote,0,min.patcher.control,0,リモート制御からパッチャー操作。UI管理,1,0,低,なし,,,,
min.hello-world,0,print,0,メッセージのプリント。基本的なテキスト出力,1,0,なし,なし,,,,
min.dict.join,0,dict.view,0,結合辞書の表示。複数辞書の統合と可視化,1,0,低,なし,,,,
fluid.dataset~,0,fluid.kmeans~,0,データセットからクラスタリング。機械学習データの分類処理,1,0,高,大規模データセットで処理時間増加,,,,
poly~,0,spectrumdraw~,0,ポリフォニック処理からスペクトル表示。複数ボイスの周波数分析,1,1,中,高いボイス数で負荷増加,,,,
jit.gl.mesh,0,jit.gl.shader,0,3Dメッシュからシェーダー処理。カスタム描画効果の適用,1,0,高,複雑なメッシュとシェーダーで負荷増加,,,,
jit.phys.body,0,jit.phys.world,0,物理オブジェクトから物理シミュレーション。物理エンジン統合,1,0,高,複雑な物理演算で負荷増加,,,,
gain~,0,dac~,0,ゲインからオーディオ出力へのルーティング,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
adc~,0,gain~,0,オーディオ入力からゲインへのルーティング,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
number,0,sig~,0,Max数値からオーディオ信号への変換,1,0,最小限,なし,Max Message to Audio Signal,1コントロールサイクル,なし,1.0
slider,0,sig~,0,スライダーコントロールからオーディオ信号への変換,1,0,最小限,なし,Max Message to Audio Signal,1コントロールサイクル,なし,1.0
slider,0,line~,0,スライダーから滑らかなオーディオランプの生成,1,0,中程度,なし,Max Message to Audio Signal,遷移時間に依存,なし,1.0
cycle~,0,snapshot~,0,オーディオ信号からMax値への変換（インスペクション用）,1,1,中程度,連続的なサンプリングではない,Audio Signal to Max Message,metro速度に依存,なし,1.0
metro,0,snapshot~,0,snapshotのトリガー（オーディオ値をサンプリング）,1,0,最小限,なし,Max Message,最小限,なし,1.0
cycle~,0,send~,0,コードレスでオーディオ信号を送信,1,1,中程度,名前の衝突に注意,Audio Signal,ベクターサイズ1回分の可能性,ベクターサイズに依存,0.0
receive~,0,gain~,0,コードレスで受信したオーディオ信号の処理,1,1,中程度,名前が対応する必要あり,Audio Signal,ベクターサイズ1回分の可能性,ベクターサイズに依存,0.0
number,0,gate~,0,オーディオゲートの制御入力,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,gate~,1,オーディオゲートへのオーディオ信号入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
gate~,0,dac~,0,オーディオゲートからオーディオ出力へのルーティング,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,matrix~,0,マトリックスルーターへのオーディオ信号入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,matrix~,0,マトリックスルーティング制御（接続設定）,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
poly~,0,dac~,0,ポリフォニックパッチからオーディオ出力へのルーティング,1,1,重要（インスタンス数に依存）,なし,Audio Signal,最小限,なし,1.0
number,0,poly~,0,ポリフォニックインスタンスへの制御メッセージ,1,0,中程度,なし,Max Message,最小限,なし,1.0
slider,0,send,0,コードレスでメッセージを送信,1,0,最小限,名前の衝突に注意,Max Message,最小限,なし,1.0
receive,0,number,0,コードレスで受信したメッセージの表示,1,0,最小限,名前が対応する必要あり,Max Message,最小限,なし,1.0
snapshot~,0,route,0,オーディオデータのルーティング処理,0,0,中程度,データ型の不一致の可能性,Audio to Message Processing,最小限,なし,1.0
route,0,sig~,0,ルーティングしたデータからオーディオ信号の生成,0,0,中程度,値の範囲に注意,Message Processing to Audio,複数のコントロールサイクル,なし,1.0
cycle~,0,jit.matrix,0,オーディオ信号からJitterマトリックスへの変換,0,1,高い,変換に特別なオブジェクトが必要,Audio Signal to Jitter,高い,ベクターサイズに依存,0.0
buffer~,0,play~,0,バッファからのサンプル再生,1,1,中程度,バッファサイズに依存,Audio Signal,最小限,なし,1.0
play~,0,dac~,0,サンプル再生からオーディオ出力へのルーティング,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
groove~,0,gain~,0,可変速度サンプル再生からのオーディオ出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
cycle~,0,cycle~,1,FMシンセシス（周波数変調）,1,1,中程度,なし,Audio Rate Modulation,最小限,なし,1.0
filter~,0,gain~,0,フィルターからゲインへのルーティング,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,filter~,1,フィルター周波数の制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,delay~,0,オーディオ遅延入力,1,1,中程度,遅延時間に依存,Audio Signal,遅延時間,なし,1.0
delay~,0,gain~,0,遅延したオーディオ信号の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,delay~,1,遅延時間の制御,1,0,最小限,値の範囲に注意,Max Message to Audio Control,1コントロールサイクル,なし,1.0
line~,0,cycle~,0,周波数のスムーズな変調,1,1,中程度,なし,Audio Rate Control,最小限,なし,1.0
phasor~,0,cycle~,0,位相変調,1,1,中程度,なし,Audio Rate Modulation,最小限,なし,1.0
cycle~,0,*~,0,振幅変調のキャリア,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
cycle~,0,*~,1,振幅変調のモジュレーター,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
*~,0,dac~,0,変調信号の出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
notein,0,makenote,0,MIDI入力のノート番号,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
notein,1,makenote,1,MIDI入力のベロシティ,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
makenote,0,noteout,0,MIDI出力のノート番号,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
makenote,1,noteout,1,MIDI出力のベロシティ,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
notein,0,mtof,0,MIDI音階からHz変換,1,0,最小限,なし,MIDI to Frequency,最小限,なし,1.0
mtof,0,cycle~,0,MIDI音階からオシレーター周波数制御,1,0,最小限,なし,Frequency Control,最小限,なし,1.0
cycle~,0,svf~,0,状態変数フィルターへの入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,svf~,1,フィルター周波数設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
number,0,svf~,2,フィルター共振（Q）設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
svf~,0,gain~,0,フィルターローパス出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
svf~,1,gain~,0,フィルターバンドパス出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
svf~,2,gain~,0,フィルターハイパス出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
svf~,3,gain~,0,フィルターノッチ出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
send~,0,receive~,0,コードレスオーディオ接続（仮想的な接続）,1,1,中程度,名前の一致が必要,Virtual Audio Connection,1ベクターサイズ,ベクターサイズに依存,0.0
snapshot~,0,prepend,0,オーディオ値からメッセージ作成,1,0,中程度,なし,Audio to Message Conversion,最小限,なし,1.0
sfrecord~,0,buffer~,0,オーディオ録音,1,1,高い,メモリ使用量に注意,Audio Recording,最小限,なし,1.0
poly~,0,poly~,0,ネスト化されたポリフォニック構造（非推奨）,0,1,非常に高い,深さに応じてCPU負荷が指数関数的に増加,Audio Signal,複数のコントロールサイクル,ベクターサイズに依存,0.0
groove~,0,groove~,0,サンプル間の掛け合わせ（非推奨）,0,1,高い,フィードバックリスクあり,Audio Signal,複数のコントロールサイクル,ベクターサイズに依存,0.0
jit.catch~,0,jit.matrix,0,オーディオからJitterマトリックスへの変換,1,1,高い,なし,Audio to Jitter,高い,ベクターサイズに依存,1.0
mc.pack~,0,mc.unpack~,0,マルチチャンネル信号のパッキング/アンパッキング,1,1,中程度,なし,Multi-Channel Audio,最小限,なし,1.0
gen~,0,dac~,0,高度なDSPからオーディオ出力へのルーティング,1,1,処理内容に依存,なし,Audio Signal,最小限,なし,1.0
number,0,gen~,0,gen~パッチへのパラメータ入力,1,0,最小限,パッチ内での処理方法に依存,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,pfft~,0,FFTベースの処理へのオーディオ入力,1,1,高い,なし,Audio Signal,最小限,FFTサイズに依存,1.0
selector~,0,dac~,0,複数入力から選択されたオーディオの出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
number,0,selector~,0,オーディオ入力の選択制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
live.dial,0,sig~,0,Liveダイアルからオーディオ信号変換,1,0,最小限,なし,Max Message to Audio Signal,1コントロールサイクル,なし,1.0
live.slider,0,line~,0,Liveスライダーから滑らかなランプ生成,1,0,中程度,なし,Max Message to Audio Signal,遷移時間に依存,なし,1.0
number~,0,dac~,0,数値付きシグナルメーターからオーディオ出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
saw~,0,biquad~,0,ノコギリ波からバイクアッドフィルターへ,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
biquad~,0,dac~,0,バイクアッドフィルターからオーディオ出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
rect~,0,lores~,0,矩形波からローパスレゾナンスフィルターへ,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
lores~,0,dac~,0,ローパスレゾナンスフィルターからオーディオ出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
tri~,0,reson~,0,三角波からレゾナンスフィルターへ,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
reson~,0,dac~,0,レゾナンスフィルターからオーディオ出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
noise~,0,cascade~,0,ノイズからカスケードフィルターへ,1,1,高い,なし,Audio Signal,最小限,なし,1.0
cascade~,0,dac~,0,カスケードフィルターからオーディオ出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,cascade~,1,カスケードフィルターパラメータ制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
kslider,0,pack,0,キーボードスライダーからMIDIパック,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
kslider,1,pack,1,キーボードスライダーベロシティからMIDIパック,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
pack,0,midiformat,0,パックされたデータからMIDIフォーマット,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
midiformat,0,midiout,0,MIDIフォーマットからMIDI出力,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
midiin,0,midiparse,0,MIDI入力からMIDIパース,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
midiparse,0,unpack,0,MIDIパースからアンパック,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
unpack,0,noteout,0,アンパックからMIDIノート出力,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
unpack,1,noteout,1,アンパックからMIDIベロシティ出力,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
vst~,0,dac~,0,VSTプラグインからオーディオ出力,1,1,高い,プラグインに依存,Audio Signal,プラグインに依存,なし,1.0
adc~,0,vst~,0,オーディオ入力からVSTプラグイン,1,1,高い,プラグインに依存,Audio Signal,最小限,なし,1.0
pgmin,0,pgmout,0,MIDIプログラムチェンジの転送,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
ctlin,0,ctlout,0,MIDIコントロールチェンジの転送,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
bendin,0,bendout,0,MIDIピッチベンドの転送,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
touchin,0,touchout,0,MIDIアフタータッチの転送,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
polyin,0,polyout,0,MIDIポリフォニックアフタータッチの転送,1,0,最小限,なし,MIDI Processing,最小限,なし,1.0
cycle~,0,+~,0,加算の第一入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,+~,1,加算の第二入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
+~,0,dac~,0,加算結果の出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,-~,0,減算の第一入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,-~,1,減算の第二入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
-~,0,dac~,0,減算結果の出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,/~,0,除算の第一入力,1,1,最小限,ゼロ除算注意,Audio Signal,最小限,なし,1.0
cycle~,0,/~,1,除算の第二入力,1,1,最小限,ゼロ除算注意,Audio Signal,最小限,なし,1.0
/~,0,dac~,0,除算結果の出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
cycle~,0,expr~,0,式の第一入力,1,1,高い,複雑な式は負荷大,Audio Signal,最小限,なし,1.0
expr~,0,dac~,0,式の評価結果出力,1,1,高い,なし,Audio Signal,最小限,なし,1.0
number,0,expr~,1,式のパラメータ制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,avg~,0,平均化処理への入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
avg~,0,dac~,0,平均化された信号の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
cycle~,0,clip~,0,クリップ処理への入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
clip~,0,dac~,0,クリップ処理された信号の出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
number,0,clip~,1,クリップの下限値設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
number,0,clip~,2,クリップの上限値設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,sah~,0,サンプル&ホールドへの入力信号,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
noise~,0,sah~,1,サンプル&ホールドのトリガー信号,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
sah~,0,dac~,0,サンプル&ホールド出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
adc~,0,record~,0,オーディオ入力から録音,1,1,高い,メモリ使用量に注意,Audio Signal,最小限,なし,1.0
number,0,record~,1,録音のスタート/ストップ制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
record~,0,buffer~,0,録音データのバッファリング,1,1,高い,なし,Audio Signal,最小限,なし,1.0
cycle~,0,overdrive~,0,オーバードライブエフェクトへの入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
overdrive~,0,dac~,0,オーバードライブ処理された信号の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,overdrive~,1,オーバードライブのドライブ量設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,tanh~,0,双曲線正接ディストーションへの入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
tanh~,0,dac~,0,双曲線正接処理された信号の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
groove~,0,record~,0,グルーブ再生から録音へのルーティング,1,1,高い,なし,Audio Signal,最小限,なし,1.0
cycle~,0,cycle~,2,FMシンセシス（位相モジュレーション）,1,1,中程度,なし,Audio Rate Modulation,最小限,なし,1.0
cycle~,0,trapezoid~,0,トラペゾイド波形生成の周波数入力,1,1,中程度,なし,Audio Rate Control,最小限,なし,1.0
trapezoid~,0,dac~,0,トラペゾイド波形の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,trapezoid~,1,トラペゾイド波形のシェイプ制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
number,0,trapezoid~,2,トラペゾイド波形の幅制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
noise~,0,onepole~,0,1極フィルターへの入力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
onepole~,0,dac~,0,1極フィルター出力,1,1,最小限,なし,Audio Signal,最小限,なし,1.0
number,0,onepole~,1,1極フィルターのカットオフ周波数設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,teeth~,0,テロイド波形生成の周波数入力,1,1,中程度,なし,Audio Rate Control,最小限,なし,1.0
teeth~,0,dac~,0,テロイド波形の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,teeth~,1,テロイド波形のシェイプ制御,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,zerox~,0,ゼロクロッシング検出への入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
zerox~,0,snapshot~,0,ゼロクロッシング検出結果,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
metro,0,zerox~,1,ゼロクロッシング検出のリセット,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
cycle~,0,degrade~,0,ビットデグレーダーへの入力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
degrade~,0,dac~,0,ビットデグレード処理された信号の出力,1,1,中程度,なし,Audio Signal,最小限,なし,1.0
number,0,degrade~,1,ビットデプスの設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
number,0,degrade~,2,サンプルレート低減の設定,1,0,最小限,なし,Max Message to Audio Control,1コントロールサイクル,なし,1.0
adc~,0,mstosamps~,0,ミリ秒からサンプル変換,1,1,最小限,なし,Audio Rate Conversion,最小限,なし,1.0
mstosamps~,0,delay~,1,サンプル単位の遅延時間指定,1,1,最小限,なし,Audio Rate Control,最小限,なし,1.0
sampstoms~,0,number~,0,サンプルからミリ秒への変換,1,1,最小限,なし,Audio Rate Conversion,最小限,なし,1.0
pfft~,0,pfft~,0,スペクトル処理の連鎖（直列接続）,1,1,非常に高い,FFTサイズが一致する必要あり,FFT Processing Chain,FFTサイズに依存,FFTサイズに依存,1.0
buffer~,0,groove~,0,高度なサンプル再生のためのバッファ参照,1,0,中程度,バッファサイズに依存,Buffer Reference,なし,なし,1.0
mc.pack~,0,pfft~,0,マルチチャンネル信号のスペクトル処理,1,1,非常に高い,チャンネル数の対応が必要,Multichannel to FFT,FFTサイズに依存,FFTサイズに依存,1.0
adc~,0,multiband_split~,0,入力信号のマルチバンド分割,1,1,高い,なし,Multiband Processing,最小限,なし,1.0
multiband_split~,0,poly~,0,マルチバンド分割されたバンドごとの処理,1,1,非常に高い,なし,Band Processing,最小限,なし,1.0
poly~,0,matrix~,0,複数のポリフォニックボイスからマトリックスミキシング,1,1,高い,なし,Voice Mixing,最小限,なし,1.0
gizmo~,0,poly~,0,ピッチシフトからポリフォニック処理へ,1,1,高い,なし,Pitch Processing,中程度,なし,1.0
pfft~,0,vectral~,0,スペクトル処理からベクトル化処理へ,1,1,非常に高い,なし,Advanced Spectral Processing,高い,FFTサイズに依存,1.0
fft.frame~,0,ml.svm,0,スペクトル特徴量から機械学習分類へ,1,0,非常に高い,データフォーマットの変換が必要,Audio to ML,分析ウィンドウサイズに依存,なし,1.0
